Artikelnummer,Name,Beschreibung,Regulärer Preis,Bilder
ZRK-3,LCT RK-3 Rear Grip,,55,https://shop-gun.de/wp-content/uploads/2020/05/lct-zrk-3-rear-grip.jpg
ZB-33,"LCT B-33 Dustcover ""Classic""",,190,"https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dust-cover-classic.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dt-cover-classic.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dust-cove-classic.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dust-cover-class.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33dust-cover-classic.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dust-cover-classic.jpg, https://shop-gun.de/wp-content/uploads/2020/07/lct-zb-33-dust-cover-clssic.jpg"
PK-08,LCT AK Rubber Stock Pad,,"33,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-08.jpg
PK-09,LCT AK-104 Pistol Grip (BK),,25,https://shop-gun.de/wp-content/uploads/2023/10/PK-09.jpg
PK-10,"LCT AK CNC Steel Side Mount ""Dovetail""",,49,https://shop-gun.de/wp-content/uploads/2023/10/PK-10.jpg
PK-19,LCT AKM Flash Hider,,36,"https://shop-gun.de/wp-content/uploads/2023/10/PK-19.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-19_A.jpg"
PK-20,LCT AK-74 Flash Hider,,"52,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-20_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-20_C.jpg"
PK-21,LCT AKS-74U Flash Hider,,49,"https://shop-gun.de/wp-content/uploads/2023/10/PK-21_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-21_C.jpg"
PK-22,LCT AK-104 Flash Hider,,49,"https://shop-gun.de/wp-content/uploads/2023/10/PK-22_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-22_C.jpg"
PK-23,LCT AK-47 Flash Hider,,"21,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-23.jpg
PK-32,LCT AK Fireselector,,42,https://shop-gun.de/wp-content/uploads/2023/10/PK-32.jpg
PK-33,LCT AK Fireselector (Erweitert),,42,https://shop-gun.de/wp-content/uploads/2023/10/PK-33.jpg
PK-42,LCT AKM Pistolgrip (Braun),,25,https://shop-gun.de/wp-content/uploads/2023/10/PK-42.jpg
PK-45,LCT AK Pistolgrip (Bakelite),,29,https://shop-gun.de/wp-content/uploads/2023/10/PK-45.jpg
PK-50,LCT AKMS Handguard und Griff,,132,https://shop-gun.de/wp-content/uploads/2023/10/PK-50.jpg
PK-51,LCT AKM Handguard-Set,,197,https://shop-gun.de/wp-content/uploads/2023/10/PK-51-1.jpg
PK-52,"LCT AK-74M Handguard-Set (Plastik, BK)",,"81,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-52.jpg
PK-54,"LCT AK-74M Handguard-Set (Plastik, Plum)",,108,"https://shop-gun.de/wp-content/uploads/2023/10/PK-541.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK054_WEB.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSO003MSO06MSB004-01.jpg"
PK-60,LCT AKS-74UN lower Handguard (Holz),,"50,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-60.jpg
PK-56,LCT AMD65 Flash Hider,,61,https://shop-gun.de/wp-content/uploads/2023/10/PK-56.jpg
PK-59,LCT AKMSU lower Handguard (Holz),,61,https://shop-gun.de/wp-content/uploads/2023/10/PK-59.jpg
PK-140,"LCT AK-74 Handguard und Griff (Plastik, Grün)",,55,https://shop-gun.de/wp-content/uploads/2023/10/PK-140.jpg
PK-157,LCT AKM Upper Handguard mit Gastube,,"81,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-157_02.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-157_03.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-157.jpg"
PK-156,LCT AKM lower Handguard (Holz),,"74,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-156.jpg
PK-161,LCT AK-74 lower Handguard (Holz),,"74,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-161.jpg
PK-160,LCT AKS-74 Handguard und Griff,,132,https://shop-gun.de/wp-content/uploads/2023/10/PK-160.jpg
PK-159,LCT AK-74 Handguard-Set,,"196,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-159.jpg
PK-158,LCT AKM Upper Handguard (Holz),,42,https://shop-gun.de/wp-content/uploads/2023/10/PK-158.jpg
PK-169,LCT AK-47 Steel Upper Handguard (gelocht),,102,https://shop-gun.de/wp-content/uploads/2023/10/PK-169.jpg
PK-163,LCT AK-74 Upper Handguard (Holz),,"40,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-163.jpg
PK-162,LCT AK-74 Upper Handguard mit Gastube,,"81,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-162_02.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-162_03.jpg"
PK-183,LCT RPKS-74MN Upper Handguard mit Gas Tube,,"56,5","https://shop-gun.de/wp-content/uploads/2023/10/pk-183_C.jpg, https://shop-gun.de/wp-content/uploads/2023/10/pk-183_B.jpg, https://shop-gun.de/wp-content/uploads/2023/10/pk-183.jpg"
PK-178,LCT RPK Handguard Set,,197,https://shop-gun.de/wp-content/uploads/2023/10/PK-178.jpg
PK-177,LCT RPKS-74MN Handguard Set,,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-177.jpg
PK-176,LCT RPKS-74 Handguard Set,,"237,5",https://shop-gun.de/wp-content/uploads/2023/10/PK-176.jpg
PK-211,LCT AKS-74UN Tactical Upper Handguard mit Gastube,,"56,5","https://shop-gun.de/wp-content/uploads/2023/10/PK211_C.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK211_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK211_B.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK211_B_A.jpg"
PK-212,LCT AKS-74UN Tactical Lower Handguard,,19,"https://shop-gun.de/wp-content/uploads/2023/10/PK212_B.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK212_A.jpg"
PK-210,LCT AKS-74UN Tactical Handguard Set mit Gas Tube,,72,"https://shop-gun.de/wp-content/uploads/2023/10/PK210_B.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK210_A.jpg"
PK-185,LCT RPKS-74MN Lower Handguard,,"26,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-185.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-185_B.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-185_A.jpg"
PK-184,LCT RPKS-74MN Upper Handguard,,17,https://shop-gun.de/wp-content/uploads/2023/10/PK-184.jpg
ZB-10M,"LCT ZB-10M Handguard ""Classic""",,51,"https://shop-gun.de/wp-content/uploads/2023/10/ZB-10M.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSC011-00-00-00.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-10M-11.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-10M-12.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-10M-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-10M-5.jpg"
PK-164,LCT AIMS Upper Handguard mit Gastube,,"81,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-164.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-164_02.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-164_03.jpg"
PK-165,LCT AIMS Upper Handguard (Holz),,41,https://shop-gun.de/wp-content/uploads/2023/10/PK-165.jpg
PK-166,LCT AKS-74UN Upper Handguard mit Gastube,,82,https://shop-gun.de/wp-content/uploads/2023/10/PK-166.jpg
ZB-19,"LCT ZB-19 Upper Handguard ""Classic""",,"38,5","https://shop-gun.de/wp-content/uploads/2023/10/ZB-19-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-19-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-19.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-19-5-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-19-4-1.jpg"
ZB-11,"LCT ZB-11 Handguard ""Classic""",,61,"https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSC011-00-00-00-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-5.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-8.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11-9.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-11.jpg"
ZB-31,"LCT ZB-31 Upper Handguard ""Classic""",,57,"https://shop-gun.de/wp-content/uploads/2023/10/ZB-31C-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSC026-00-00-00-01-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-31C-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-31C-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-31C-5.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-31C.jpg"
ZB-30,"LCT ZB-30 Handguard ""Classic""",,"100,5","https://shop-gun.de/wp-content/uploads/2023/10/ZB-30-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-30-5.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-30-6.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSC011-00-00-00-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-30.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-30-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-3031_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-30-3.jpg"
ZB-21M,"LCT ZB-21M Handguard ""Classic""",,61,"https://shop-gun.de/wp-content/uploads/2023/10/ZB-21M-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSC011-00-00-00-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-21M-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-21M-5.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZB-21M.jpg"
PK-57,LCT AK-47 Pistol Grip (Holz),,83,https://shop-gun.de/wp-content/uploads/2023/10/PK-57.jpg
PK-75,LCT AMD65 Pistol Grip (BK),,30,https://shop-gun.de/wp-content/uploads/2023/10/PK-75.jpg
PK-66,LCT AK Tactical Pistol Grip (BK),,30,https://shop-gun.de/wp-content/uploads/2023/10/PK-66.jpg
PK-192,LCT AKM-63 Pistol Grip (Holz),,83,"https://shop-gun.de/wp-content/uploads/2023/10/PK-192-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-192-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-192.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK192.jpg"
PK-187,LCT RPKS-74 Pistol Grip (Holz),,83,https://shop-gun.de/wp-content/uploads/2023/10/PK-187-1.jpg
PK-81,"LCT AK ""Saw Stlye"" Pistol Grip (BK)",,32,https://shop-gun.de/wp-content/uploads/2023/10/PK-81.jpg
PK-243,LCT M70AB2 Pistol Grip (BK),,31,"https://shop-gun.de/wp-content/uploads/2023/10/PK-243_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-243_B.jpg"
PK-85,LCT AR M4/M16 Flash Hider,,36,https://shop-gun.de/wp-content/uploads/2023/10/PK-85.jpg
PK-67,LCT KRINKOV 4-Piece Flash Hider,,"99,5","https://shop-gun.de/wp-content/uploads/2023/10/PK-67_C.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-67_C.jpg"
PK-174,LCT RPKS74 Flash Hider,,36,https://shop-gun.de/wp-content/uploads/2023/10/PK-174.jpg
PK-402,LCT AK-16 Flash Hider,,"50,5","https://shop-gun.de/wp-content/uploads/2023/10/PK402_2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK402_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK402_3.jpg"
PK-242,LCT Hexagon Flash Hider (24x1.5mm R),,"50,5","https://shop-gun.de/wp-content/uploads/2023/10/DSC_2972.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_2974.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_2973.jpg"
PK-241,LCT Hexagon Flash Hider (14x1.0mm L),,"50,5","https://shop-gun.de/wp-content/uploads/2023/10/DSC_2971.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_2973.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_3008.jpg"
PK-404,LCT AK-12/15 to M24 Muzzle Thread Adapter,,19,"https://shop-gun.de/wp-content/uploads/2023/10/PK404_3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_0996.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK404_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK404_2.jpg"
ZDTK-2,LCT DTK-2 Muzzle Brake(24x1.5mm R),,"26,5","https://shop-gun.de/wp-content/uploads/2023/10/ZDTK-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/DSC_4358.jpg"
ZDTK-2L,LCT DTK-2L Muzzle Brake(14 x 1.0 L),,"26,5","https://shop-gun.de/wp-content/uploads/2023/10/ZDTK-2L.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZDTK-2L-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZDTK-2L-3.jpg"
PK-155,LCT AKM Festschaft (Holz),,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-155.jpg
PK-179,LCT RPKS Festschaft (Holz),,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-179.jpg
PK-173,LCT AK-74 Festschaft (Holz),,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-173.jpg
PK-193,LCT AKM-63 Festschaft (Holz),,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-193.jpg
PK-181,LCT RPKS-74MN Klappschaft (Plastik),,41,https://shop-gun.de/wp-content/uploads/2023/10/PK-181.jpg
PK-180,LCT RPK Festschaft (Holz),,95,https://shop-gun.de/wp-content/uploads/2023/10/PK-180.jpg
PK-353,LCT AK-12 / AK-16 Tactical Stock,,"56,5","https://shop-gun.de/wp-content/uploads/2023/10/PK353_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_F.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_G.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_H.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_J.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_L.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353_M.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK353組裝步驟-01.jpg"
PK-289,LCT STK Klappschaft,,264,"https://shop-gun.de/wp-content/uploads/2023/10/PK-289_A.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK-289_B.jpg"
ZPT-1,"LCT PT-1 Buttstock ""Classic""",,"226,5","https://shop-gun.de/wp-content/uploads/2023/10/ZPT-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/CAUTION.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-5.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Z-LCKS-74UN-03.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Z-Series-Parts-Buttstock-_Classic_.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-5.jpg"
ZPT-3,"LCT PT-3 Buttstock ""Classic""",,"226,5","https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/CAUTION-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-1-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-2-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-3-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-4-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/Steps-5-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-2-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-3-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-3-5-1.jpg"
ZPT-A,LCT PT-A Stock-Adapter,,61,"https://shop-gun.de/wp-content/uploads/2023/10/ZPT-A_2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-A6_WEB.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-A_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-A_3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/ZPT-A_4.jpg"
PK-172,LCT AK Klappschaft-Knopf,,"26,5","https://shop-gun.de/wp-content/uploads/2023/10/PK172_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK172_2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK172_3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK172_4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK172_5.jpg"
PK-382,"LCT AKMS ""Vintage"" Handguard und Griff",,132,"https://shop-gun.de/wp-content/uploads/2023/10/PK382_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSO003-00-00-00_PK316-01.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK382_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK382_2.jpg"
PK-383,"LCT AKM ""Vintage"" Handguard-Set",,197,"https://shop-gun.de/wp-content/uploads/2023/10/PK383_1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/MSO003MSO06MSB004-01-1.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK383_2.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK383_3.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK383_4.jpg, https://shop-gun.de/wp-content/uploads/2023/10/PK383_5.jpg"
