Artikelnummer;Artikelname;Brutto-VK;Stücklistenkomponenten Artikelnummer;Menge
PK-ST0J-5ILD;satch Match Schulrucksack Set 3tlg. (Purple Laser) inkl. Schlamperbox und Sporttasche;213,37;ZX-OVA7-33XT;1
KU-IE9U-8BB7;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Purple Laser);193,17;ZX-OVA7-33XT;1
EP-Y9VR-DKEK;satch Match Schulrucksack Set 2tlg. (Purple Laser);187,6;ZX-OVA7-33XT;1
3W-ZHWW-8G6Y;satch Pack Now or Never Schulrucksack Set 3tlg. (Sun Catcher);;ZW-M7XS-6X3R;1
6N-HWO2-QCDZ;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Candy Clouds);;ZU-IIB4-S4AW;1
14133;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Candy Clouds);;ZU-IIB4-S4AW;1
12529;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sportbeutel (Candy Clouds);;ZU-IIB4-S4AW;1
14372;Satch Pack Blackjack Schulrucksack Set 3tlg. ;159,97;ZE-H1Z8-MQRN;1
13427;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Blackjack);0;ZE-H1Z8-MQRN;1
12611;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blackjack);196,17;ZE-H1Z8-MQRN;1
FS-4NHF-AX6I;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Dark Skate);166,27;Z6-CXGY-FRKV;1
BD-UTXH-OSER;satch Pack Schulrucksack Set 2.tlg (Dark Skate);159,38;Z6-CXGY-FRKV;1
M7-WTE2-HJT9;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Mesmerize);138,94;YX-6LRA-5WZF;1
7K-GLCO-IUVC;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Mesmerize);161,97;YX-6LRA-5WZF;1
37-O782-IGUP;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Mesmerize);171,49;YX-6LRA-5WZF;1
QV-P6GS-SQGP;coocazoo JOKER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Sprinkled Candy);;YF-9Q65-3TN6;1
J8-Z2CE-PURX;coocazoo PORTER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Sprinkled Candy);;YF-9Q65-3TN6;1
WF-5NIP-DB65;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (All Mint);145,97;Y9-J3I0-8W6H;1
T2-Q13B-WNIU;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (All Mint);176,25;Y9-J3I0-8W6H;1
I9-HWHT-BKKA;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Dark Skate);;Y6-QZ8C-UWUA;1
VA-DWZE-E726;satch Air Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Dark Skate);;Y6-QZ8C-UWUA;1
CJ-S19V-SICN;satch Match Schulrucksack Set 2tlg. (Dark Skate);;Y6-QZ8C-UWUA;1
OH-ND1H-B2GU;satch Pack Schulrucksack Set 2tlg. mit Schlamperbox (Blue Tech);;Y4-VM6M-RR7J;1
FV-DGK5-902C;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Blue Tech);;Y4-VM6M-RR7J;1
Q1-KD1D-UV09;satch Air Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Troublemaker);;XY-NX2H-XOKP;1
TS-IHYI-0XCH;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Bubble Dreams);;XQ-PSDC-DJJQ;1
QY-T97O-FBMI;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Lime Stripe);144,87;XP-XU6P-A4B7;1
RM-R687-MH1Y;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Lime Stripe);176,25;XP-XU6P-A4B7;1
KX-7A4W-CQF9;satch Pack Schulrucksack Set 3tlg. mit Schlamperbox und Sportbeutel (Mint Phantom);;XD-SKNV-72KG;1
HI-4EC2-L893;satch Air Schulrucksack Set 3tlg. inkl. Schlamperbox und Sporttasche (Jurassic Jungle);168;X3-KCKK-F0YG;1
5I-UZBY-N17F;satch Air Schulrucksack Set 2tlg. inkl. Schlamperbox (Jurassic Jungle);123;X3-KCKK-F0YG;1
14449;satch Match Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Bloomy Breeze);;X1-Y3T6-1BIM;1
PY-ZK3X-VU45;coocazoo JOKER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Bubble Brush);160,97;WS-P5QM-QS8C;1
81-D043-33YY;coocazoo JOKER Schulrucksack-Set 2tlg inkl. Schlamperbox (Bubble Brush);115,98;WS-P5QM-QS8C;1
YR-XS0W-WQTP;Satch Pack Nordic Grey Skandi Edition Schulrucksack Set 2tlg.;174,98;WS-13DC-RRTT;1
LI-7AEJ-SX8A;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Grey Skandi Ed.);209,9;WS-13DC-RRTT;1
13268;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Nordic Grey Skandi Ed.);209,9;WS-13DC-RRTT;1
R7-JO8Z-M7TP;satch Pack Schulrucksack Set 3tlg. mit Sporttasche und Schlamperbox (Blue Tech);;WP-MIUZ-AJV7;1
J8-Z2CE-PURX;coocazoo PORTER Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Sprinkled Candy);209,98;WI-MSWP-2CH4;1
JQ-63B5-PXMW;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Black Coal);;W0-715Z-9AWK;1
HE-5ZHR-BAMR;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Black Coal);;W0-715Z-9AWK;1
M6-CQ3Z-WADS;coocazoo MATE Schulrucksack-Set 3tlg inkl. Sporttasche und Schlamperbox (Blue Craft);;VS-P4ET-WTOT;1
LO-1L5P-QRUA;coocazoo MATE Schulrucksack-Set 2tlg inkl. Schlamperbox (Blue Craft);;VS-P4ET-WTOT;1
US-F77B-BOT2;satch Pack Schulrucksack Set 2tlg. inkl. Schlamperbox (Jurassic Jungle);149,97;VJ-WKE5-JKDG;1
HM-4U33-QJJZ;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox u. Sporttasche (Jurassic Jungle);184,23;VJ-WKE5-JKDG;1
12300;satch Pack Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Jurassic Jungle);168,7;VJ-WKE5-JKDG;1
18-IWJI-QNPQ;satch Match Schulrucksack Set 3tlg. inkl. Schlamperbox und Sportbeutel (Green Supreme);;VH-CH95-AUEJ;1
