Artikelnummer;GTIN;HAN;Artikelname;Beschreibung;Brutto-VK;Artikel mit Seriennummer;Artikelgewicht;Versandgewicht;Breite;Höhe;Länge;Hersteller;Warengruppe;Herkunftsland;Lieferant;Artikelnummer (Lieferant);Artikelname (Lieferant);Netto-EK;Lieferzeit in Tagen (Lieferant);Mindestabnahme (Lieferant)
;;;Intel Core i5-14600K;Core i-14000;;;;;;;;;;;;;;;;
;;;Intel Core i7-14700K;Core i-14000;;;;;;;;;;;;;;;;
;;;Intel Core i9-14900K;Core i-14000;;;;;;;;;;;;;;;;
;;;Intel Core Ultra 5 245K;Core Ultra 200;;;;;;;;;;;;;;;;
;;;Intel Core Ultra 7 265K;Core Ultra 200;;;;;;;;;;;;;;;;
;;;Intel Core Ultra 9 285K;Core Ultra 200;;;;;;;;;;;;;;;;
;;;AMD Ryzen 5 9600X;AMD Ryzen 9000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 7 9700X;AMD Ryzen 9000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 9 9900X;AMD Ryzen 9000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 9 9950X;AMD Ryzen 9000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 5 7600X3D;AMD Ryzen 7000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 7 7800X3D;AMD Ryzen 7000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 9 7950X3D;AMD Ryzen 7000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 7 9800X3D;AMD Ryzen 9000;;;;;;;;;;;;;;;;
;;;AMD Ryzen 9 9950X3D;AMD Ryzen 9000;;;;;;;;;;;;;;;;
