Artikelnummer;GTIN;HAN;Artikelname;Beschreibung;Brutto-VK;Artikel mit Seriennummer;Artikelgewicht;Versandgewicht;Breite;Höhe;Länge;Hersteller;Warengruppe;Herkunftsland;Lieferant;Artikelnummer (Lieferant);Artikelname (Lieferant);Netto-EK;Lieferzeit in Tagen (Lieferant);Mindestabnahme (Lieferant)
;;;MSI 4070 SUPER 12G Ventus 3X;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;MSI 4070 SUPER 12G Gaming X Slim;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4070 SUPER Windforce 12G;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4070 SUPER Gaming 12G;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;ASUS Prime 4070 SUPER;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;ASUS TUF Gaming 4070 SUPER;Nvidia Geforce RTX 4070 SUPER;;;;;;;;;;;;;;;;
;;;MSI 4070 Ti SUPER 16G Ventus 3X;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;MSI 4070 Ti SUPER 16G GAMING X SLIM;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4070 Ti SUPER Windforce 16G;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4070 Ti SUPER Gaming OC;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;ASUS Prime 4070 Ti SUPER;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;ASUS TUF Gaming 4070 Ti SUPER;Nvidia Geforce RTX 4070 Ti SUPER;;;;;;;;;;;;;;;;
;;;MSI 4080 SUPER 16G Ventus 3X;Nvidia Geforce RTX 4080 SUPER;;;;;;;;;;;;;;;;
;;;MSI 4080 SUPER 16G Gaming X Slim;Nvidia Geforce RTX 4080 SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4080 SUPER Windforce 16G;Nvidia Geforce RTX 4080 SUPER;;;;;;;;;;;;;;;;
;;;GIGABYTE 4080 SUPER Gaming;Nvidia Geforce RTX 4080 SUPER;;;;;;;;;;;;;;;;
;;;ASUS TUF Gaming 4080 SUPER;Nvidia Geforce RTX 4080 SUPER;;;;;;;;;;;;;;;;
;;;MSI 4090 Ventus 3X 24G;Nvidia Geforce RTX 4090;;;;;;;;;;;;;;;;
;;;GIGABYTE 4090 Gaming 24G;Nvidia Geforce RTX 4090;;;;;;;;;;;;;;;;
;;;ASUS TUF Gaming 4090 24G;Nvidia Geforce RTX 4090;;;;;;;;;;;;;;;;
